Instance,Our_Vehicles,BKS_Vehicles,Vehicle_Gap,Our_Distance,BKS_Distance,Distance_Gap,Time
X-n1001-k43.sol,43,43.0,0.0,78368.0,72346.0,8.323887982749564,2714.8
X-n101-k25.sol,26,25.0,4.0,27756.0,27591.0,0.5980210938349462,2700.18
X-n106-k14.sol,14,14.0,0.0,26607.0,26362.0,0.929368029739777,2700.18
X-n110-k13.sol,13,13.0,0.0,15120.0,14971.0,0.9952574978291363,2700.18
X-n115-k10.sol,10,10.0,0.0,12757.0,12747.0,0.07844983133286262,2700.28
X-n120-k6.sol,6,6.0,0.0,13517.0,13332.0,1.3876387638763876,2700.18
X-n125-k30.sol,30,30.0,0.0,56365.0,55539.0,1.487243198473145,2700.17
X-n129-k18.sol,18,18.0,0.0,29691.0,28940.0,2.595024187975121,2700.19
X-n134-k13.sol,13,13.0,0.0,11185.0,10916.0,2.4642726273360207,2700.23
X-n139-k10.sol,10,10.0,0.0,13651.0,13590.0,0.4488594554819721,2700.17
X-n143-k7.sol,7,7.0,0.0,16008.0,15700.0,1.9617834394904456,2700.23
X-n148-k46.sol,46,46.0,0.0,44210.0,43448.0,1.7538206591787884,2700.32
X-n153-k22.sol,23,22.0,4.545454545454546,21526.0,21220.0,1.4420358152686144,2700.53
X-n157-k13.sol,13,13.0,0.0,16977.0,16876.0,0.598483052856127,2700.17
X-n162-k11.sol,11,11.0,0.0,14201.0,14138.0,0.4456075824020371,2700.25
X-n167-k10.sol,10,10.0,0.0,21089.0,20557.0,2.587926253830812,2700.28
X-n172-k51.sol,52,51.0,1.9607843137254901,46280.0,45607.0,1.475650667660666,2700.23
X-n176-k26.sol,26,26.0,0.0,49196.0,47812.0,2.894670793942943,2700.39
X-n181-k23.sol,23,23.0,0.0,25787.0,25569.0,0.8525949391841684,2700.21
X-n186-k15.sol,15,15.0,0.0,25038.0,24145.0,3.698488299855043,2700.2
X-n190-k8.sol,8,8.0,0.0,17421.0,16980.0,2.597173144876325,2700.31
X-n195-k51.sol,52,51.0,1.9607843137254901,44987.0,44225.0,1.723007348784624,2700.37
X-n200-k36.sol,36,36.0,0.0,59688.0,58578.0,1.8949093516337192,2700.29
X-n204-k19.sol,19,19.0,0.0,19946.0,19565.0,1.9473549706107844,2700.3
X-n209-k16.sol,16,16.0,0.0,31886.0,30656.0,4.012265135699374,2700.35
X-n214-k11.sol,11,11.0,0.0,11476.0,10856.0,5.711127487103906,2700.39
X-n219-k73.sol,73,73.0,0.0,117814.0,117595.0,0.1862324078404694,2700.34
X-n223-k34.sol,34,34.0,0.0,41504.0,40437.0,2.638672502905755,2700.43
X-n228-k23.sol,23,23.0,0.0,26489.0,25742.0,2.9018724263848963,2701.03
X-n233-k16.sol,17,16.0,6.25,19914.0,19230.0,3.5569422776911073,2700.99
X-n237-k14.sol,14,14.0,0.0,27761.0,27042.0,2.6588270098365503,2701.07
X-n242-k48.sol,48,48.0,0.0,84322.0,82751.0,1.8984664837887153,2701.21
X-n247-k47.sol,51,47.0,8.51063829787234,37990.0,,,2701.41
X-n251-k28.sol,28,28.0,0.0,39942.0,38684.0,3.2519904870230585,2701.07
X-n256-k16.sol,17,16.0,6.25,19105.0,18839.0,1.4119645416423376,2700.87
X-n261-k13.sol,13,13.0,0.0,27683.0,26558.0,4.23601174787258,2701.16
X-n266-k58.sol,58,58.0,0.0,77432.0,75478.0,2.5888338323749966,2700.82
X-n270-k35.sol,36,35.0,2.857142857142857,36105.0,35291.0,2.3065370774418406,2701.89
X-n275-k28.sol,28,28.0,0.0,21719.0,21245.0,2.2311132031066134,2701.02
X-n280-k17.sol,17,17.0,0.0,35147.0,33503.0,4.907023251649107,2701.45
X-n284-k15.sol,15,15.0,0.0,21124.0,20215.0,4.496660895374722,2701.17
X-n289-k60.sol,62,60.0,3.3333333333333335,98121.0,95151.0,3.1213544786707446,2700.33
X-n294-k50.sol,51,50.0,2.0,48706.0,47161.0,3.276011959033948,2700.76
X-n298-k31.sol,31,31.0,0.0,36191.0,34231.0,5.725804095702726,2700.86
X-n303-k21.sol,21,21.0,0.0,22499.0,21736.0,3.5103054839896943,2700.4
