Instance,Our_Vehicles,BKS_Vehicles,Vehicle_Gap(%),Our_Distance,BKS_Distance,Distance_Gap(%),Time(s)
p01.sol,12,12.0,0.0,608.98,576.87,5.566245427912704,10802.66
p02.sol,7,7.0,0.0,506.79,473.53,7.023842206407208,10802.2
p03.sol,13,13.0,0.0,681.47,641.19,6.282069277437261,13501.87
p04.sol,15,15.0,0.0,1019.61,1001.59,1.7991393684042356,5401.87
p05.sol,9,9.0,0.0,775.99,750.03,3.4611948855379167,5401.39
p06.sol,16,16.0,0.0,889.93,876.5,1.5322304620650258,8101.78
p07.sol,17,17.0,0.0,914.2,885.8,3.2061413411605435,10802.75
p08.sol,25,25.0,0.0,4484.56,4443.43,0.9256362764800884,5407.6
p09.sol,26,26.0,0.0,4018.25,3900.22,3.0262395454615434,8120.77
p10.sol,27,27.0,0.0,3838.21,3822.42,0.4130890901575313,10817.69
p11.sol,27,27.0,0.0,3723.79,3598.63,3.4779902351728254,13516.69
p12.sol,8,8.0,0.0,1365.6,1318.95,3.536904355737508,5400.61
p13.sol,8,8.0,0.0,1365.6,1318.95,3.536904355737508,5400.41
p14.sol,8,8.0,0.0,1365.6,1360.12,0.4029056259741801,5400.37
p15.sol,16,16.0,0.0,2731.2,2505.42,9.011662715233363,10801.97
p16.sol,16,16.0,0.0,2731.2,2586.37,5.599740176386207,10802.11
p17.sol,16,16.0,0.0,2731.2,2537.44,7.63604262563843,10802.46
p18.sol,24,24.0,0.0,4096.8,3702.85,10.639102313083171,16206.68
p19.sol,24,24.0,0.0,4096.8,3827.06,7.048230234174542,16206.4
p20.sol,24,24.0,0.0,4096.8,3617.16,13.260126729257216,16206.12
p21.sol,36,36.0,0.0,6145.200000000001,5556.28,10.599177867206135,24311.94
p22.sol,36,36.0,0.0,6145.200000000001,5702.43,7.764584571840433,24313.15
p23.sol,36,36.0,0.0,6145.200000000001,6010.53,2.2405678035048653,24310.68
pr01.sol,4,4.0,0.0,894.3699999999999,861.13,3.8600443603172456,10801.29
pr02.sol,9,9.0,0.0,1380.67,1146.99,20.373324963600385,10802.12
pr03.sol,11,11.0,0.0,1852.99,1357.73,36.477060976777416,10804.43
pr04.sol,15,15.0,0.0,2094.4300000000003,1618.33,29.419216105491486,10807.17
pr05.sol,21,21.0,0.0,2470.61,1910.89,29.291063326512752,10811.62
pr06.sol,23,23.0,0.0,2737.69,2252.12,21.560574036907457,10818.39
pr07.sol,7,7.0,0.0,1196.5600000000002,2758.31,-56.61981430658627,16201.47
pr08.sol,12,12.0,0.0,1702.74,3154.26,-46.01776644918301,16205.38
pr09.sol,18,18.0,0.0,2195.88,3915.22,-43.91426280004699,16207.63
pr10.sol,26,26.0,0.0,2866.4300000000003,4153.22,-30.982948170335305,16229.55
