Instance,Our_Vehicles,BKS_Vehicles,Vehicle_Gap(%),Our_Distance,BKS_Distance,Distance_Gap(%),Time(s)
LC1_10_1.sol,0,100.0,-100.0,46371.87,42488.66,9.139403313731236,2945.21
LC1_10_10.sol,101,86.0,17.441860465116278,48750.61,42929.15,13.560622560660992,3193.4
LC1_10_2.sol,103,94.0,9.574468085106384,46217.97,44548.51,3.747510298324229,3114.16
LC1_10_3.sol,97,78.0,24.35897435897436,46724.92,45906.3,1.783241080200311,3274.14
LC1_10_4.sol,87,72.0,20.833333333333336,44873.54,37782.17,18.76909134652669,3623.47
LC1_10_5.sol,0,100.0,-100.0,45538.44,42477.4,7.206279103711623,3134.28
LC1_10_6.sol,108,101.0,6.930693069306932,47557.3,42838.39,11.015610063776917,3126.96
LC1_10_7.sol,110,100.0,10.0,49788.88,42854.99,16.179889436446025,3133.62
LC1_10_8.sol,107,98.0,9.183673469387756,48577.52,42949.56,13.10364995590176,3131.05
LC1_10_9.sol,104,90.0,15.555555555555555,49819.69,43564.01,14.359743283503976,3169.72
LC1_2_1.sol,0,20.0,-100.0,2704.57,2704.57,0.0,2703.49
LC1_2_10.sol,19,17.0,11.76470588235294,2878.4,2942.13,-2.166117744627192,2704.99
LC1_2_2.sol,0,19.0,-100.0,2764.56,2764.56,0.0,2703.57
LC1_2_3.sol,18,17.0,5.88235294117647,2774.67,3127.78,-11.28947688136634,2704.99
LC1_2_4.sol,18,17.0,5.88235294117647,2661.4,2693.41,-1.1884562691903486,2706.77
LC1_2_5.sol,0,20.0,-100.0,2702.05,2702.05,0.0,2704.25
LC1_2_6.sol,0,20.0,-100.0,2701.04,2701.04,0.0,2704.74
LC1_2_7.sol,0,20.0,-100.0,2701.04,2701.04,0.0,2705.31
LC1_2_8.sol,20,19.0,5.263157894736842,2759.16,3354.27,-17.741863356259337,2705.75
LC1_2_9.sol,0,18.0,-100.0,2769.06,2724.24,1.645229495198667,2705.05
LC1_4_1.sol,42,40.0,5.0,7478.33,7152.06,4.561902444889997,2724.14
LC1_4_10.sol,37,34.0,8.823529411764707,7587.07,7850.22,-3.352135354168425,2740.68
LC1_4_2.sol,41,38.0,7.894736842105263,7419.62,8007.79,-7.344972832704155,2726.5
LC1_4_3.sol,39,32.0,21.875,7820.58,8678.23,-9.882775635123748,2740.3
LC1_4_4.sol,33,30.0,10.0,7250.69,6451.68,12.3845262009275,2757.0
LC1_4_5.sol,41,40.0,2.5,7341.67,7150.0,2.6806993006993016,2732.58
LC1_4_6.sol,41,40.0,2.5,7503.92,7154.02,4.890956413317262,2727.36
LC1_4_7.sol,40,40.0,0.0,7321.75,7149.43,2.4102620768368905,2741.84
LC1_4_8.sol,39,38.0,2.631578947368421,7147.24,8305.42,-13.944869735666591,2735.94
LC1_4_9.sol,38,36.0,5.555555555555555,7844.28,7451.2,5.275391883186599,2736.62
LC1_6_1.sol,0,60.0,-100.0,14563.45,14095.64,3.3188276658598075,2797.97
LC1_6_10.sol,58,51.0,13.725490196078432,15943.2,15432.55,3.308915247318178,2841.79
LC1_6_2.sol,62,57.0,8.771929824561402,15134.59,15048.16,0.5743559345461524,2813.48
LC1_6_3.sol,57,49.0,16.3265306122449,16038.8,14874.68,7.826185168353195,2804.66
LC1_6_4.sol,53,47.0,12.76595744680851,14489.12,13300.55,8.936246997304636,2922.66
LC1_6_5.sol,63,60.0,5.0,15277.95,14086.3,8.459638088071399,2813.29
LC1_6_6.sol,65,60.0,8.333333333333332,16074.75,14090.79,14.07983512634848,2776.21
LC1_6_7.sol,64,60.0,6.666666666666667,15440.08,14083.76,9.630382795503472,2808.65
LC1_6_8.sol,61,58.0,5.172413793103448,15196.88,14880.7,2.1247656360251765,2811.58
