Instance,Our_Vehicles,BKS_Vehicles,Vehicle_Gap(%),Our_Distance,BKS_Distance,Distance_Gap(%),Time(s)
C101.sol,10,10.0,0.0,828.94,828.94,0.0,2705.43
C102.sol,10,10.0,0.0,828.94,828.94,0.0,2688.45
C103.sol,10,10.0,0.0,828.06,828.06,0.0,2697.38
C104.sol,10,10.0,0.0,826.65,824.78,0.2267271272339296,2683.44
C105.sol,10,10.0,0.0,828.94,828.94,0.0,2704.38
C106.sol,10,10.0,0.0,828.94,828.94,0.0,2681.41
C107.sol,10,10.0,0.0,828.94,828.94,0.0,2683.62
C108.sol,10,10.0,0.0,828.94,828.94,0.0,2699.68
C109.sol,10,10.0,0.0,828.94,828.94,0.0,2711.88
C1_10_1.sol,100,100.0,0.0,42479.06,42478.95,0.0002589517867098,2740.91
C1_10_10.sol,93,90.0,3.333333333333333,43215.23,39852.44,8.43810316256671,2772.26
C1_10_2.sol,96,90.0,6.666666666666667,42392.12,42222.96,0.4006351046918631,2758.94
C1_10_3.sol,91,90.0,1.1111111111111112,42826.79,40101.36,6.796353041393111,2749.65
C1_10_4.sol,90,90.0,0.0,42517.07,39468.6,7.723785490237812,2746.96
C1_10_5.sol,100,100.0,0.0,42470.26,42469.18,0.0025430206093024,2742.46
C1_10_6.sol,101,99.0,2.0202020202020203,42863.41,43830.21,-2.205784549058733,2775.16
C1_10_7.sol,100,97.0,3.09278350515464,42469.43,43341.77,-2.0127004503969186,2744.79
C1_10_8.sol,99,92.0,7.608695652173914,43125.77,42629.91,1.163173931167092,2771.47
C1_10_9.sol,95,90.0,5.555555555555555,42977.57,40318.03,6.5964036437296185,2763.7
C1_2_1.sol,20,20.0,0.0,2704.57,2704.57,0.0,2701.24
C1_2_10.sol,19,18.0,5.555555555555555,2761.14,2643.51,4.449765652484751,2702.18
C1_2_2.sol,20,18.0,11.11111111111111,2700.95,2917.89,-7.43482447933267,2702.2
C1_2_3.sol,18,18.0,0.0,2773.19,2707.35,2.431898350785829,2701.18
C1_2_4.sol,18,18.0,0.0,2675.15,2643.31,1.2045503554255894,2701.7
C1_2_5.sol,20,20.0,0.0,2702.05,2702.05,0.0,2701.66
C1_2_6.sol,20,20.0,0.0,2701.04,2701.04,0.0,2702.45
C1_2_7.sol,20,20.0,0.0,2701.04,2701.04,0.0,2700.92
C1_2_8.sol,20,19.0,5.263157894736842,2691.88,2775.48,-3.0120916021733146,2702.03
C1_2_9.sol,19,18.0,5.555555555555555,2658.59,2687.83,-1.0878664201232884,2702.11
C1_4_1.sol,40,40.0,0.0,7152.06,7152.02,0.0005592825523413,2704.58
C1_4_10.sol,37,36.0,2.7777777777777777,7117.38,6860.63,3.74236768343432,2707.43
C1_4_2.sol,39,36.0,8.333333333333332,7180.15,7686.38,-6.586065221859972,2706.5
C1_4_3.sol,37,36.0,2.7777777777777777,7221.54,7060.67,2.278395676330998,2704.56
C1_4_4.sol,36,36.0,0.0,7363.22,6803.24,8.231078133359993,2704.54
C1_4_5.sol,40,40.0,0.0,7152.06,7152.02,0.0005592825523413,2705.18
C1_4_6.sol,40,40.0,0.0,7153.45,7153.41,0.0005591738765143,2707.05
